HG03942.mat.cen20:26438531-29130393
total	954
S2C20H1L.1-16	622
S2C20H1L.7-16	90
S2C20H1L.1-13_12-16	90
S2C20H1L.1-10_13_12-16	24
S2C20H1L.1-10_13-16	22
S2C20H1L.1-8	16
S2C20H1L.1-2_9-16	15
S2C20H1L.1-11_14-16	12
S2C20H1L.1-11_8-16	8
S2C20H1L.1-12_15-16	5
S2C20H1L.1-14_7-16	3
S2C20H1L.1-8_11-16	3
S2C20H1L.1-6_11-16	3
S2C20H1L.1-11_13-16	3
S2C20H1L.1-14	2
S2C20H1L.12-16	2
S2C20H1L.7-8_3-16	2
S2C20H1L.1-3_6_5-16	2
S2C20H1L.7-13_16	2
S2C20H1L.7-13_12-16	2
S2C20H1L.1-14_12-13_12_15-16	2
S2C20H1L.1-13_12_15-16	2
S2C20H1L.8	1
S2C20H1L.12_11-16	1
S2C20H1L.1-4_15-16	1
S2C20H1L.1-2_9-12_11-12_11-12	1
S2C20H1L.1_6-11_14_9-12_11-13_12	1
S2C20H1L.1-8_13-16	1
S2C20H1L.1-11_14_12-16	1
S2C20H1L.1_8_3-16	1
S2C20H1L.1-2_13-16	1
S2C20H1L.7_14-16	1
S2C20H1L.1-2_9-11_14-16	1
S2C20H1L.1-13_12-13_12-16	1
S2C20H1L.1-7_14-16	1
S2C20H1L.7-11_14-16	1
S2C20H1L.1_8-13_12-16	1
S2C20H1L.1-2_9-12_9-16	1
S2C20H1L.1-6_15-16	1
S2C20H1L.1-3_12-16	1
S2C20H1L.1-11_8-13_12-16	1
S2C20H1L.14-16	1
S2C20H1L.1-8_13_12-16	1
S2C20H1L.1_8-16	1
HG03942.pat.cen20:25726062-28744588
total	695
S2C20H1L.1-16	558
S2C20H1L.1-11_14-16	26
S2C20H1L.7-16	13
S2C20H1L.1-12_11_14-16	12
S2C20H1L.1-12_15-16	10
S2C20H1L.1-10_13-16	7
S2C20H1L.1-14_14-16	7
S2C20H1L.1-5_16	6
S2C20H1L.1-13_12-16	5
S2C20H1L.1-15_4-16	4
S2C20H1L.1-12_7-16	4
S2C20H1L.1-6	3
S2C20H1L.1_14-16	3
S2C20H1L.1_12-13_2-11_8-16	2
S2C20H1L.1-11_8-16	2
S2C20H1L.1-10_12-16	2
S2C20H1L.1-3_7-16	2
S2C20H1L.1	2
S2C20H1L.13-16	2
S2C20H1L.1-8_11-16	2
S2C20H1L.1-6_9-15_7-9	2
S2C20H1L.12	1
S2C20H1L.1-11_14_12-16	1
S2C20H1L.1-5_10-14_2-16	1
S2C20H1L.1-5_10-11_14-16	1
S2C20H1L.1-13_12_15-16	1
S2C20H1L.7-9_2-16	1
S2C20H1L.1-10_7-16	1
S2C20H1L.1-11	1
S2C20H1L.6-16	1
S2C20H1L.1_3-16	1
S2C20H1L.1-11_2-16	1
S2C20H1L.1_12-16	1
S2C20H1L.1-8_13-16	1
S2C20H1L.1-4_15-16	1
S2C20H1L.8-16	1
S2C20H1L.1-6_9-11_14_14_14-16	1
S2C20H1L.1-11_14_12_11_14-16	1
S2C20H1L.1_8	1
S2C20H1L.10-16	1
S2C20H1L.2-16	1
S2C20H1L.1-11_14_14-16	1
